ASV,Kingdom,Phylum,Class,Order,Family,Genus,Label
ASV02123,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Neisseriaceae,,Proteobacteria (f. Neisseriaceae)
ASV02124,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Panacagrimonas,Proteobacteria (g. Panacagrimonas)
ASV02125,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV02126,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Fontimonas,Proteobacteria (g. Fontimonas)
ASV02127,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,,Planctomycetes (f. Gemmataceae)
ASV02128,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV02129,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Candidatus_Protochlamydia,Chlamydiae (g. Protochlamydia)
ASV02130,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,,Planctomycetes (f. Pirellulaceae)
ASV02131,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Caedibacteraceae,Caedibacter,Proteobacteria (g. Caedibacter)
ASV02132,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),,,Patescibacteria (c. Gracilibacteria)
ASV02133,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,Acidobacteria (f. Thermoanaerobaculaceae)
ASV02134,Bacteria,Planctomycetes,vadinHA49,,,,Planctomycetes
ASV02135,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Paracaedibacter,Proteobacteria (g. Paracaedibacter)
ASV02136,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),,,Patescibacteria (c. Gracilibacteria)
ASV02137,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,,,Bacteroidetes (o. Cytophagales)
ASV02138,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,Proteobacteria (f. Rhodobacteraceae)
ASV02139,Bacteria,Proteobacteria,,,,,Proteobacteria
ASV02140,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Proteobacteria (c. Gammaproteobacteria)
ASV02141,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Proteobacteria (g. Pseudomonas)
ASV02142,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,Verrucomicrobia (g. Opitutus)
ASV02143,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Rheinheimera,Proteobacteria (g. Rheinheimera)
ASV02144,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,Proteobacteria (g. Altererythrobacter)
ASV02145,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella,Proteobacteria (g. Duganella)
ASV02146,Bacteria,Patescibacteria,Parcubacteria,,,,Patescibacteria (c. Parcubacteria)
ASV02147,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV02148,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Proteobacteria (g. Klebsiella)
ASV02149,Bacteria,,,,,,Bacteria
ASV02150,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Proteobacteria (g. Coxiella)
ASV02151,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,,Proteobacteria (f. Paracaedibacteraceae)
ASV02152,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,Bacteroidetes (f. Chitinophagaceae)
ASV02153,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,Bacteroidetes (f. Chitinophagaceae)
ASV02154,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,,Proteobacteria (o. Oligoflexales)
ASV02155,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,Proteobacteria (g. Pseudorhodobacter)
ASV02156,Bacteria,Kiritimatiellaeota,Kiritimatiellae,WCHB1-41,,,Kiritimatiellaeota (c. Kiritimatiellae)
ASV02157,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,,Proteobacteria (f. Diplorickettsiaceae)
ASV02158,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,Proteobacteria (g. Aquabacterium)
ASV02159,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,,Bacteroidetes (f. Cryomorphaceae)
ASV02160,Bacteria,Acidobacteria,Subgroup_22,,,,Acidobacteria
ASV02161,Bacteria,Planctomycetes,OM190,,,,Planctomycetes
ASV02162,Bacteria,,,,,,Bacteria
ASV02163,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,,Proteobacteria (f. Sandaracinaceae)
ASV02164,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,,Verrucomicrobia (f. Opitutaceae)
ASV02165,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,,Bacteroidetes (f. Microscillaceae)
ASV02166,Bacteria,Proteobacteria,Deltaproteobacteria,,,,Proteobacteria (c. Deltaproteobacteria)
ASV02167,Bacteria,,,,,,Bacteria
ASV02168,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Telmatocola,Planctomycetes (g. Telmatocola)
ASV02169,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,,Proteobacteria (o. Oligoflexales)
